Timestamp,Node,Compute_time(ms),Memcpy_time(ms),Task_time(ms),Dispatch_time(ms),Total_time(ms)
4127122706307.72,discriminator/self_attention/attn_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.266,0.004,0.34646,0.063,0.95
4127122706991.75,generator/resblock_up_2/res1/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.374,0.004,0.40555,0.085,0.688
4127122707699.52,generator/resblock_up_2/res1/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.404,0.004,0.43432,0.077,0.687
4127122708419.12,generator/resblock_up_4/res2/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.376,0.003,0.39947,0.056,0.632
4127122709014.83,generator/resblock_up_4/res2/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.365,0.002,0.38174,0.043,0.526
4127122709579.3003,discriminator/resblock_down_1/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,0.131,0.001,0.14767,0.039,0.283
4127122709927.19,discriminator/resblock_down_1/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,0.128,0.001,0.14347,0.043,0.282
4127122710217.54,generator/resblock_up_1/res1/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.256,0.001,0.26776,0.021,0.356
4127122710645.44,generator/resblock_up_1/res1/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.26,0.001,0.27353,0.023,0.386
4127122711174.17,discriminator/resblock_down_1/res1/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.205,0.001,0.21779,0.021,0.424
4127122711546.71,discriminator/resblock_down_1/res2/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.017,0.001,0.03093,0.019,0.148
4127122711708.54,discriminator/resblock_down_1/skip/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.015,0.0,0.02596,0.018,0.118
4127122711860.41,discriminator/self_attention/attn_conv/u/Initializer/random_normal/RandomStandardNormal,0.01,0.0,0.02134,0.021,0.119
4127122712011.65,generator/resblock_up_1/res2/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.009,0.001,0.02067,0.019,0.119
4127122712142.5103,generator/self_attention/h_conv/u/Initializer/random_normal/RandomStandardNormal,0.01,0.001,0.02177,0.02,0.106
4127122712292.1,discriminator/resblock_down_2/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.592,0.002,1.60451,0.022,1.704
4127122714021.3203,discriminator/resblock_down_2/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.614,0.001,1.62418,0.018,1.698
4127122715759.15,generator/resblock_up_1/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.594,0.001,1.60569,0.02,1.677
4127122717504.58,generator/resblock_up_1/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.59,0.002,1.60226,0.021,1.704
4127122719250.4,discriminator/resblock_down_1/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.318,0.002,1.33005,0.024,1.427
4127122720721.23,generator/resblock_up_1/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.307,0.002,1.31918,0.021,1.421
4127122722180.74,discriminator/resblock_down_2/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.773,0.002,1.78418,0.021,1.879
4127122724118.93,generator/resblock_up_2/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.765,0.001,1.77524,0.031,1.877
4127122726049.41,discriminator/resblock_down_2/res1/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.016,0.001,0.02837,0.025,0.138
4127122726216.8003,discriminator/resblock_down_2/res2/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.017,0.001,0.02906,0.018,0.138
4127122726378.88,discriminator/resblock_down_2/skip/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.018,0.001,0.02822,0.016,0.128
4127122726528.65,generator/resblock_up_1/res1/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.013,0.001,0.02961,0.018,0.123
4127122726703.3604,generator/resblock_up_1/skip/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.018,0.002,0.03089,0.017,0.137
4127122726858.24,generator/resblock_up_2/res2/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.014,0.0,0.02522,0.016,0.118
4127122726997.63,generator/self_attention/attn_conv/u/Initializer/random_normal/RandomStandardNormal,0.013,0.0,0.0239,0.016,0.106
4127122727113.99,discriminator/resblock_down_4/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,3.726,0.002,3.73781,0.014,3.804
4127122731057.43,discriminator/resblock_down_4/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,3.729,0.002,3.74416,0.053,3.91
4127122734962.88,generator/resblock_up_2/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,3.726,0.002,3.7392,0.038,3.852
4127122738908.0,generator/resblock_up_2/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,3.72,0.003,3.73613,0.041,3.878
4127122742808.18,discriminator/resblock_down_4/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,4.523,0.003,4.53717,0.035,4.657
4127122747581.0103,generator/resblock_up_4/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,4.541,0.002,4.55461,0.066,4.729
4127122752351.0503,discriminator/self_attention/f_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.063,0.001,0.07756,0.056,0.222
4127122752591.5703,discriminator/self_attention/g_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.064,0.001,0.07854,0.019,0.204
4127122752863.8203,discriminator/self_attention/f_conv/u/Initializer/random_normal/RandomStandardNormal,0.012,0.002,0.02904,0.024,0.176
4127122753038.42,discriminator/self_attention/g_conv/u/Initializer/random_normal/RandomStandardNormal,0.01,0.001,0.02179,0.017,0.123
4127122753174.87,generator/resblock_up_1/res2/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.132,0.001,0.14185,0.019,0.221
4127122753447.22,generator/resblock_up_1/res2/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.133,0.001,0.14398,0.018,0.24
4127122753769.6,discriminator/self_attention/h_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.224,0.002,0.24045,0.023,0.379
4127122754133.5903,discriminator/self_attention/h_conv/u/Initializer/random_normal/RandomStandardNormal,0.007,0.001,0.01834,0.016,0.098
4127122754269.31,discriminator/resblock_down_8/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.967,0.004,8.98457,0.016,9.067
4127122763565.46,discriminator/resblock_down_8/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.986,0.003,9.00418,0.099,9.218
4127122772883.77,generator/resblock_up_4/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.958,0.003,8.97547,0.121,9.217
4127122782167.67,generator/resblock_up_4/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.93,0.004,8.94753,0.124,9.192
4127122791460.5903,discriminator/resblock_down_8/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,17.773,0.008,17.80499,0.144,18.099
4127122809836.66,generator/resblock_up_8/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,17.882,0.008,17.91605,0.197,18.372
4127122828303.62,discriminator/resblock_down_16/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,35.466,0.011,35.51471,0.19,35.944
4127122864457.1,discriminator/resblock_down_16/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,35.5,0.018,35.55201,0.208,36.074
4127122900656.75,generator/resblock_up_8/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,35.572,0.009,35.61881,0.211,36.137
4127122936879.0703,generator/resblock_up_8/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,35.574,0.01,35.61788,0.204,36.089
4127122973121.3403,generator/G_logit/kernel/Initializer/truncated_normal/TruncatedNormal,0.145,0.001,0.17094,0.195,0.641
4127122973464.56,generator/G_logit/u/Initializer/random_normal/RandomStandardNormal,0.019,0.001,0.03457,0.021,0.147
4127122973764.8003,discriminator/resblock/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.747,0.012,70.79735,0.038,71.014
4127123045226.08,discriminator/resblock/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.841,0.009,70.88808,0.192,71.435
4127123116803.3604,discriminator/resblock_down_16/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.809,0.01,70.85757,0.255,71.42
4127123188305.1,generator/resblock_up_16/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.818,0.01,70.86617,0.25,71.394
4127123259826.0903,generator/resblock_up_16/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.887,0.009,70.93341,0.204,71.468
4127123331402.75,generator/resblock_up_16/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.814,0.01,70.89185,0.219,71.411
4127123402999.44,discriminator/resblock_down_4/res1/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.048,0.003,0.08958,0.272,0.66
4127123403365.8403,discriminator/resblock_down_4/res2/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.033,0.003,0.06357,0.036,0.278
4127123403599.8003,discriminator/resblock_down_4/skip/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.021,0.001,0.03581,0.023,0.159
4127123403777.9,generator/resblock_up_2/res1/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.022,0.001,0.03642,0.023,0.15
4127123404046.42,generator/resblock_up_2/skip/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.031,0.002,0.05162,0.032,0.25
4127123404233.47,generator/resblock_up_4/res2/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.022,0.001,0.03571,0.022,0.137
4127123404490.67,discriminator/D_logit/kernel/Initializer/truncated_normal/TruncatedNormal,0.089,0.003,0.11237,0.03,0.3
4127123404739.56,generator/resblock_up_2/res2/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.186,0.001,0.19759,0.02,0.287
4127123405072.12,generator/resblock_up_2/res2/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.19,0.0,0.20078,0.021,0.293
4127123405380.8403,generator/self_attention/f_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.221,0.001,0.23262,0.017,0.305
4127123405733.99,generator/self_attention/g_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.222,0.0,0.23256,0.019,0.318
