Model Name,Model ID,Stream ID,Fusion Op,Original Ops,Memory Input(Bytes),Memory Output(Bytes),Memory Weight(Bytes),Memory Workspace(Bytes),Memory Total(Bytes),Task IDs
ge_default_20210422101910_41,6,370,generator_1/resblock_up_8/skip/deconv_0/l2_normalize,"generator_1/resblock_up_8/skip/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_8/skip/deconv_0/l2_normalize,generator_1/resblock_up_8/skip/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_8/skip/deconv_0/l2_normalize/Sum,generator_1/resblock_up_8/skip/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_8/skip/deconv_0/l2_normalize/Square",13856,13856,0,27716,55428,23
ge_default_20210422101910_41,6,370,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1,"generator_1/resblock_up_8/skip/deconv_0/MatMul_1,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1/Square",3104,3104,0,0,6208,27
ge_default_20210422101910_41,6,370,generator_1/resblock_up_1/res2/batch_norm/beta/dense/MatMul,"generator/resblock_up_1/res2/batch_norm/beta/dense/bias,generator_1/resblock_up_1/res2/batch_norm/beta/dense/BiasAdd,generator_1/resblock_up_1/res2/batch_norm/beta/dense/MatMul",10528,12320,0,0,22848,40
ge_default_20210422101910_41,6,370,generator_1/resblock_up_4/res1/batch_norm/beta/dense/MatMul,"generator/resblock_up_4/res1/batch_norm/beta/dense/bias,generator_1/resblock_up_4/res1/batch_norm/beta/dense/BiasAdd,generator_1/resblock_up_4/res1/batch_norm/beta/dense/MatMul",54880,98336,0,0,153216,47
ge_default_20210422101910_41,6,370,generator_1/resblock_up_1/res2/batch_norm/gamma/dense/MatMul,"generator/resblock_up_1/res2/batch_norm/gamma/dense/bias,generator_1/resblock_up_1/res2/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_1/res2/batch_norm/gamma/dense/MatMul",10528,12320,0,0,22848,50
ge_default_20210422101910_41,6,370,generator_1/resblock_up_4/res1/batch_norm/gamma/dense/MatMul,"generator/resblock_up_4/res1/batch_norm/gamma/dense/bias,generator_1/resblock_up_4/res1/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_4/res1/batch_norm/gamma/dense/MatMul",54880,98336,0,0,153216,53
ge_default_20210422101910_41,6,370,generator_1/resblock_up_1/res2/deconv_0/l2_normalize,"generator_1/resblock_up_1/res2/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_1/res2/deconv_0/l2_normalize,generator_1/resblock_up_1/res2/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_1/res2/deconv_0/l2_normalize/Sum,generator_1/resblock_up_1/res2/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_1/res2/deconv_0/l2_normalize/Square",1760,1760,0,0,3520,63
ge_default_20210422101910_41,6,370,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1,"generator_1/resblock_up_1/res2/deconv_0/MatMul_1,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1/Square",224,224,0,0,448,67
ge_default_20210422101910_41,6,370,generator_1/resblock_up_4/res1/deconv_0/l2_normalize,"generator_1/resblock_up_4/res1/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_4/res1/deconv_0/l2_normalize,generator_1/resblock_up_4/res1/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_4/res1/deconv_0/l2_normalize/Sum,generator_1/resblock_up_4/res1/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_4/res1/deconv_0/l2_normalize/Square",6944,6944,0,13892,27780,79
ge_default_20210422101910_41,6,370,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1,"generator_1/resblock_up_4/res1/deconv_0/MatMul_1,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1/Square",1568,1568,0,0,3136,83
