Timestamp,Node,Compute_time(ms),Memcpy_time(ms),Task_time(ms),Dispatch_time(ms),Total_time(ms)
3773420265193.73,discriminator/self_attention/attn_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.261,0.004,0.30935,0.084,0.751
3773420265819.26,generator/resblock_up_2/res1/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.376,0.003,0.40693,0.069,0.653
3773420266428.7896,generator/resblock_up_2/res1/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.366,0.001,0.382,0.043,0.534
3773420267076.73,generator/resblock_up_4/res2/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.374,0.002,0.39627,0.057,0.626
3773420267663.9697,generator/resblock_up_4/res2/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.389,0.001,0.4051,0.045,0.553
3773420268237.42,discriminator/resblock_down_1/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,0.129,0.001,0.1466,0.032,0.265
3773420268640.1797,discriminator/resblock_down_1/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,0.137,0.002,0.16015,0.044,0.36
3773420268969.25,generator/resblock_up_1/res1/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.256,0.0,0.26849,0.022,0.365
3773420269377.2197,generator/resblock_up_1/res1/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.251,0.001,0.26506,0.021,0.357
3773420269810.51,discriminator/resblock_down_1/res1/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.041,0.001,0.05392,0.022,0.176
3773420270021.42,discriminator/resblock_down_1/res2/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.018,0.002,0.03329,0.02,0.15
3773420270190.69,discriminator/resblock_down_1/skip/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.014,0.001,0.02645,0.019,0.124
3773420270338.15,discriminator/self_attention/attn_conv/u/Initializer/random_normal/RandomStandardNormal,0.01,0.001,0.02211,0.018,0.112
3773420270514.4,generator/resblock_up_1/res2/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.015,0.002,0.03154,0.021,0.153
3773420270663.84,generator/self_attention/h_conv/u/Initializer/random_normal/RandomStandardNormal,0.009,0.001,0.02321,0.017,0.111
3773420270789.98,discriminator/resblock_down_2/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.598,0.001,1.60977,0.017,1.684
3773420272514.1396,discriminator/resblock_down_2/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.598,0.002,1.60983,0.023,1.687
3773420274246.5,generator/resblock_up_1/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.58,0.001,1.59028,0.025,1.675
3773420275994.75,generator/resblock_up_1/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.626,0.002,1.64136,0.024,1.76
3773420277793.15,discriminator/resblock_down_1/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.326,0.002,1.33979,0.019,1.441
3773420279262.27,generator/resblock_up_1/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.327,0.001,1.3392,0.019,1.428
3773420280741.69,discriminator/resblock_down_2/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.777,0.001,1.79025,0.018,1.89
3773420282665.5596,generator/resblock_up_2/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.776,0.001,1.78679,0.016,1.869
3773420284617.3496,discriminator/resblock_down_2/res1/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.017,0.001,0.0296,0.029,0.145
3773420284773.57,discriminator/resblock_down_2/res2/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.016,0.001,0.02819,0.017,0.124
3773420284929.6196,discriminator/resblock_down_2/skip/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.016,0.001,0.02826,0.016,0.122
3773420285071.05,generator/resblock_up_1/res1/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.013,0.001,0.02849,0.016,0.115
3773420285242.3896,generator/resblock_up_1/skip/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.018,0.001,0.03141,0.016,0.14
3773420285385.69,generator/resblock_up_2/res2/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.013,0.001,0.02363,0.015,0.108
3773420285520.4,generator/self_attention/attn_conv/u/Initializer/random_normal/RandomStandardNormal,0.012,0.001,0.0234,0.014,0.098
3773420285653.36,discriminator/resblock_down_4/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,3.734,0.002,3.74743,0.015,3.829
3773420289620.53,discriminator/resblock_down_4/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,3.743,0.002,3.75925,0.045,3.92
3773420293546.1396,generator/resblock_up_2/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,3.737,0.002,3.74858,0.018,3.843
3773420297509.6396,generator/resblock_up_2/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,3.741,0.003,3.75785,0.054,3.925
3773420301445.9497,discriminator/resblock_down_4/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,4.534,0.002,4.5496,0.044,4.68
3773420306230.75,generator/resblock_up_4/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,4.527,0.003,4.54299,0.066,4.728
3773420311017.7896,discriminator/self_attention/f_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.065,0.002,0.08411,0.062,0.26
3773420311271.59,discriminator/self_attention/g_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.064,0.002,0.07982,0.019,0.208
3773420311537.2896,discriminator/self_attention/f_conv/u/Initializer/random_normal/RandomStandardNormal,0.012,0.002,0.02878,0.024,0.172
3773420311700.3096,discriminator/self_attention/g_conv/u/Initializer/random_normal/RandomStandardNormal,0.006,0.001,0.01817,0.017,0.109
3773420311875.5996,generator/resblock_up_1/res2/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.143,0.001,0.16267,0.022,0.284
3773420312173.42,generator/resblock_up_1/res2/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.129,0.001,0.14179,0.019,0.238
3773420312445.61,discriminator/self_attention/h_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.222,0.001,0.23426,0.019,0.324
3773420312805.8096,discriminator/self_attention/h_conv/u/Initializer/random_normal/RandomStandardNormal,0.01,0.001,0.02116,0.019,0.109
3773420312952.0596,discriminator/resblock_down_8/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.957,0.004,8.97671,0.018,9.068
3773420322231.5796,discriminator/resblock_down_8/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.996,0.004,9.01448,0.111,9.239
3773420331586.96,generator/resblock_up_4/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.982,0.004,9.00411,0.131,9.275
3773420340931.34,generator/resblock_up_4/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.964,0.004,8.98522,0.111,9.24
3773420350237.82,discriminator/resblock_down_8/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,17.806,0.01,17.84796,0.133,18.112
3773420368668.25,generator/resblock_up_8/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,17.839,0.01,17.88506,0.172,18.338
3773420387141.86,discriminator/resblock_down_16/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,35.488,0.013,35.54511,0.171,35.989
3773420423312.59,discriminator/resblock_down_16/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,35.497,0.013,35.55373,0.162,36.048
3773420459532.11,generator/resblock_up_8/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,35.524,0.014,35.58479,0.168,36.079
3773420495734.07,generator/resblock_up_8/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,35.548,0.011,35.60245,0.198,36.1
3773420532026.3696,generator/G_logit/kernel/Initializer/truncated_normal/TruncatedNormal,0.149,0.002,0.1867,0.197,0.733
3773420532486.4297,generator/G_logit/u/Initializer/random_normal/RandomStandardNormal,0.023,0.002,0.0519,0.036,0.252
3773420532793.9697,discriminator/resblock/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.716,0.014,70.77327,0.034,70.973
3773420604288.94,discriminator/resblock/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.775,0.012,70.83623,0.233,71.429
3773420675812.78,discriminator/resblock_down_16/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.769,0.013,70.8321,0.217,71.378
3773420747306.9297,generator/resblock_up_16/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.817,0.012,70.87764,0.252,71.44
3773420818881.1196,generator/resblock_up_16/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.831,0.013,70.89409,0.236,71.462
3773420890458.1597,generator/resblock_up_16/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,70.791,0.012,70.85156,0.247,71.432
3773420961983.73,discriminator/resblock_down_4/res1/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.05,0.001,0.08094,0.218,0.614
3773420962223.28,discriminator/resblock_down_4/res2/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.022,0.001,0.03753,0.021,0.146
3773420962507.86,discriminator/resblock_down_4/skip/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.034,0.003,0.0639,0.035,0.28
3773420962808.4097,generator/resblock_up_2/res1/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.03,0.002,0.05921,0.04,0.258
