Model Name,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
ge_default_20210418074743_1,Assign,AI Core,525,6704.52,0.93,12.77,180.01,62.606114
ge_default_20210418074743_1,Mul,AI Core,63,4004.53,1.52,63.563,297.22,37.393886
ge_default_20210418074811_11,BatchMatMul,AI Core,14,97119406.01,705249.62,6937100.429,23675070.11,99.737685
ge_default_20210418074811_11,MatMulV2,AI Core,244,82144.49,1.15,336.657,3882.38,0.084359
ge_default_20210418074811_11,TransData,AI Core,192,65331.56,1.87,340.268,2568.57,0.067093
ge_default_20210418074811_11,Conv2DBackpropInputD,AI Core,55,22701.4,15.66,412.752,989.26,0.023313
ge_default_20210418074811_11,Conv2DBackpropFilterD,AI Core,42,20708.16,36.97,493.051,2057.86,0.021266
ge_default_20210418074811_11,Conv2D,AI Core,47,8910.02,14.68,189.574,752.08,0.00915
ge_default_20210418074811_11,Cast,AI Core,268,8593.2,1.14,32.064,297.85,0.008825
ge_default_20210418074811_11,SoftmaxV2,AI Core,3,6813.87,2270.94,2271.29,2271.71,0.006998
ge_default_20210418074811_11,Mul,AI Core,72,6385.01,1.18,88.68,1647.36,0.006557
ge_default_20210418074811_11,RealDiv,AI Core,109,4400.86,1.36,40.374,185.5,0.00452
ge_default_20210418074811_11,AddN,AI Core,104,4237.12,1.15,40.741,267.66,0.004351
ge_default_20210418074811_11,Sub,AI Core,3,3293.11,1.74,1097.703,1664.24,0.003382
ge_default_20210418074811_11,ApplyAdamD,AI Core,52,3265.26,2.13,62.793,665.02,0.003353
ge_default_20210418074811_11,ReduceSumD,AI Core,52,2673.45,1.27,51.412,801.04,0.002746
ge_default_20210418074811_11,Rsqrt,AI Core,10,1647.16,14.83,164.716,674.84,0.001692
ge_default_20210418074811_11,Add,AI Core,28,1519.77,1.3,54.277,601.74,0.001561
ge_default_20210418074811_11,BNTrainingUpdate,AI Core,25,1349.08,13.12,53.963,391.46,0.001385
ge_default_20210418074811_11,Neg,AI Core,22,1325.03,1.6,60.228,269.26,0.001361
