Timestamp,Node,Compute_time(ms),Memcpy_time(ms),Task_time(ms),Dispatch_time(ms),Total_time(ms)
3773019132649.39,discriminator/self_attention/attn_conv/kernel/Initializer/truncated_normal/TruncatedNormal,0.261,0.005,0.31001,0.079,0.732
3773019133257.2,discriminator/resblock_down_4/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,4.564,0.006,4.5877,0.048,4.804
3773019138203.36,generator/resblock_up_4/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,4.568,0.005,4.59832,0.065,4.846
3773019143064.47,discriminator/resblock_down_1/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,0.132,0.002,0.15352,0.068,0.343
3773019143405.35,discriminator/resblock_down_1/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,0.134,0.001,0.15177,0.025,0.293
3773019143748.99,generator/resblock_up_1/res1/batch_norm/beta/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.266,0.001,0.28142,0.038,0.421
3773019144290.97,generator/resblock_up_1/res1/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/TruncatedNormal,0.263,0.002,0.2874,0.045,0.506
3773019144797.7,discriminator/resblock_down_1/res1/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.054,0.001,0.07106,0.025,0.239
3773019145029.2603,discriminator/resblock_down_1/res2/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.012,0.001,0.02844,0.031,0.15
3773019145222.11,discriminator/resblock_down_1/skip/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.011,0.001,0.02619,0.032,0.151
3773019145373.25,discriminator/self_attention/attn_conv/u/Initializer/random_normal/RandomStandardNormal,0.014,0.001,0.02599,0.015,0.118
3773019145547.94,generator/resblock_up_1/res2/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.015,0.001,0.02939,0.019,0.138
3773019145697.66,generator/self_attention/h_conv/u/Initializer/random_normal/RandomStandardNormal,0.009,0.001,0.02046,0.017,0.104
3773019145846.5,discriminator/resblock_down_2/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.585,0.002,1.5991,0.017,1.699
3773019147588.7803,discriminator/resblock_down_2/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.594,0.002,1.60557,0.023,1.703
3773019149327.85,generator/resblock_up_1/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.589,0.001,1.60059,0.023,1.687
3773019151063.19,generator/resblock_up_1/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.587,0.001,1.59888,0.024,1.693
3773019152800.27,discriminator/resblock_down_1/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.309,0.002,1.32188,0.025,1.418
3773019154262.41,generator/resblock_up_1/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.326,0.002,1.339,0.018,1.439
3773019155741.13,discriminator/resblock_down_2/res2/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.783,0.002,1.79599,0.019,1.883
3773019157681.66,generator/resblock_up_2/res2/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,1.779,0.001,1.79108,0.031,1.898
3773019159617.41,discriminator/resblock_down_8/res1/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.942,0.004,8.96211,0.027,9.07
3773019168895.37,discriminator/resblock_down_8/skip/conv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.97,0.004,8.99195,0.12,9.244
3773019178229.15,generator/resblock_up_4/res1/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,9.008,0.005,9.03074,0.122,9.295
3773019187577.52,generator/resblock_up_4/skip/deconv_0/kernel/Initializer/truncated_normal/TruncatedNormal,8.945,0.004,8.9664,0.104,9.2
3773019196880.27,discriminator/resblock_down_2/res1/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.024,0.002,0.04739,0.112,0.307
3773019197140.0503,discriminator/resblock_down_2/res2/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.022,0.002,0.04478,0.028,0.215
3773019197398.56,discriminator/resblock_down_2/skip/conv_0/u/Initializer/random_normal/RandomStandardNormal,0.02,0.002,0.04353,0.029,0.215
3773019197576.93,generator/resblock_up_1/res1/deconv_0/u/Initializer/random_normal/RandomStandardNormal,0.013,0.001,0.02551,0.019,0.125
