Model Name,Model ID,Stream ID,Fusion Op,Original Ops,Memory Input(Bytes),Memory Output(Bytes),Memory Weight(Bytes),Memory Workspace(Bytes),Memory Total(Bytes),Task IDs
ge_default_20210418074351_41,5,675,generator_1/resblock_up_8/skip/deconv_0/l2_normalize,"generator_1/resblock_up_8/skip/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_8/skip/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_8/skip/deconv_0/l2_normalize/Sum,generator_1/resblock_up_8/skip/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_8/skip/deconv_0/l2_normalize,generator_1/resblock_up_8/skip/deconv_0/l2_normalize/Square",27680,27680,0,36,55396,7
ge_default_20210418074351_41,5,675,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1,"generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_8/skip/deconv_0/MatMul_1,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1,generator_1/resblock_up_8/skip/deconv_0/l2_normalize_1/Square",6176,6176,0,0,12352,9
ge_default_20210418074351_41,5,675,generator_1/resblock_up_1/res2/batch_norm/beta/dense/MatMul,"generator_1/resblock_up_1/res2/batch_norm/beta/dense/BiasAdd,generator_1/resblock_up_1/res2/batch_norm/beta/dense/MatMul,generator/resblock_up_1/res2/batch_norm/beta/dense/bias",11360,416,0,0,11776,15
ge_default_20210418074351_41,5,675,generator_1/resblock_up_4/res1/batch_norm/beta/dense/MatMul,"generator_1/resblock_up_4/res1/batch_norm/beta/dense/BiasAdd,generator_1/resblock_up_4/res1/batch_norm/beta/dense/MatMul,generator/resblock_up_4/res1/batch_norm/beta/dense/bias",64704,3104,0,0,67808,17
ge_default_20210418074351_41,5,675,generator_1/resblock_up_1/res2/batch_norm/gamma/dense/MatMul,"generator_1/resblock_up_1/res2/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_1/res2/batch_norm/gamma/dense/MatMul,generator/resblock_up_1/res2/batch_norm/gamma/dense/bias",11360,416,0,0,11776,19
ge_default_20210418074351_41,5,675,generator_1/resblock_up_4/res1/batch_norm/gamma/dense/MatMul,"generator_1/resblock_up_4/res1/batch_norm/gamma/dense/BiasAdd,generator_1/resblock_up_4/res1/batch_norm/gamma/dense/MatMul,generator/resblock_up_4/res1/batch_norm/gamma/dense/bias",64704,3104,0,0,67808,21
ge_default_20210418074351_41,5,675,generator_1/resblock_up_1/res2/deconv_0/l2_normalize,"generator_1/resblock_up_1/res2/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_1/res2/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_1/res2/deconv_0/l2_normalize/Sum,generator_1/resblock_up_1/res2/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_1/res2/deconv_0/l2_normalize,generator_1/resblock_up_1/res2/deconv_0/l2_normalize/Square",3488,3488,0,0,6976,28
ge_default_20210418074351_41,5,675,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1,"generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_1/res2/deconv_0/MatMul_1,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1,generator_1/resblock_up_1/res2/deconv_0/l2_normalize_1/Square",416,416,0,0,832,30
ge_default_20210418074351_41,5,675,generator_1/resblock_up_4/res1/deconv_0/l2_normalize,"generator_1/resblock_up_4/res1/deconv_0/l2_normalize/Rsqrt,generator_1/resblock_up_4/res1/deconv_0/ArithmeticOptimizer/FoldTransposeIntoMatMul_MatMul,generator_1/resblock_up_4/res1/deconv_0/l2_normalize/Sum,generator_1/resblock_up_4/res1/deconv_0/l2_normalize/Maximum,generator_1/resblock_up_4/res1/deconv_0/l2_normalize,generator_1/resblock_up_4/res1/deconv_0/l2_normalize/Square",13856,13856,0,36,27748,37
ge_default_20210418074351_41,5,675,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1,"generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1/Rsqrt,generator_1/resblock_up_4/res1/deconv_0/MatMul_1,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1/Sum,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1/Maximum,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1,generator_1/resblock_up_4/res1/deconv_0/l2_normalize_1/Square",3104,3104,0,0,6208,39
