Model Name,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
ge_default_20210418074102_1,Assign,AI Core,525,6709.03,0.96,12.779,179.09,63.567455
ge_default_20210418074102_1,Mul,AI Core,63,3845.16,1.63,61.034,298.94,36.432545
ge_default_20210418074128_11,BatchMatMul,AI Core,14,10274177.95,638786.98,733869.853,847651.73,98.372781
ge_default_20210418074128_11,MatMulV2,AI Core,244,76775.04,1.03,314.651,3888.72,0.735103
ge_default_20210418074128_11,TransData,AI Core,192,64338.04,1.68,335.093,2567.5,0.616021
ge_default_20210418074128_11,RealDiv,AI Core,109,4325.06,1.26,39.679,188.38,0.041411
ge_default_20210418074128_11,AddN,AI Core,106,3648.84,1.06,34.423,269.09,0.034937
ge_default_20210418074128_11,ApplyAdamD,AI Core,52,3227.89,2.06,62.074,661.53,0.030906
ge_default_20210418074128_11,Mul,AI Core,72,2704.85,1.15,37.567,266.58,0.025898
ge_default_20210418074128_11,Cast,AI Core,268,2441.82,1.14,9.111,134.94,0.02338
ge_default_20210418074128_11,BiasAddGrad,AI Core,8,2217.08,26.19,277.135,530.71,0.021228
ge_default_20210418074128_11,Conv2D,AI Core,47,2187.32,3.12,46.538,120.82,0.020943
ge_default_20210418074128_11,Conv2DBackpropFilterD,AI Core,42,1984.45,2.76,47.248,212.79,0.019001
ge_default_20210418074128_11,Conv2DBackpropInputD,AI Core,55,1872.32,2.93,34.042,95.69,0.017927
ge_default_20210418074128_11,Neg,AI Core,23,1325.28,1.42,57.62,270.2,0.012689
ge_default_20210418074128_11,ReduceSumD,AI Core,50,949.35,1.56,18.987,88.91,0.00909
ge_default_20210418074128_11,SoftmaxV2,AI Core,3,228.23,75.58,76.076,76.53,0.002185
ge_default_20210418074128_11,L2Normalize,AI Core,85,206.8,1.23,2.432,10.05,0.00198
ge_default_20210418074128_11,BNTrainingUpdateGrad,AI Core,24,195.71,4.7,8.154,15.37,0.001874
ge_default_20210418074128_11,BNTrainingUpdate,AI Core,25,130.87,3.72,5.234,9.34,0.001253
ge_default_20210418074128_11,BNTrainingReduce,AI Core,25,127.47,3.11,5.098,8.75,0.00122
ge_default_20210418074128_11,ReluGradV2,AI Core,24,124.21,3.17,5.175,8.26,0.001189
ge_default_20210418074128_11,BNTrainingReduceGrad,AI Core,22,114.07,3.46,5.185,7.49,0.001092
ge_default_20210418074128_11,Assign,AI Core,87,111.64,0.99,1.283,4.07,0.001069
ge_default_20210418074128_11,Sub,AI Core,4,107.75,1.16,26.937,52.92,0.001032
ge_default_20210418074128_11,Add,AI Core,28,101.31,1.16,3.618,11.53,0.00097
ge_default_20210418074128_11,SliceD,AI Core,18,92.56,4.37,5.142,6.23,0.000886
ge_default_20210418074128_11,SquaredDifference,AI Core,10,87.94,3.12,8.794,13.97,0.000842
ge_default_20210418074128_11,Rsqrt,AI Core,10,73.59,4.21,7.359,19.7,0.000705
ge_default_20210418074128_11,BiasAdd,AI Core,12,67.72,4.15,5.643,9.54,0.000648
ge_default_20210418074128_11,ReduceMeanD,AI Core,10,57.87,2.84,5.787,7.49,0.000554
ge_default_20210418074128_11,MaxPoolGrad,AI Core,4,53.88,10.56,13.47,15.99,0.000516
ge_default_20210418074128_11,MaxPool,AI Core,6,26.65,4.07,4.441,5.07,0.000255
ge_default_20210418074128_11,ReluV2,AI Core,2,10.54,5.22,5.27,5.32,0.000101
ge_default_20210418074128_11,Relu,AI Core,2,9.2,1.24,4.6,7.96,8.8e-05
ge_default_20210418074128_11,TileD,AI Core,2,8.78,4.31,4.39,4.47,8.4e-05
ge_default_20210418074128_11,Tanh,AI Core,1,7.71,7.71,7.71,7.71,7.4e-05
ge_default_20210418074128_11,SplitVD,AI Core,1,2.82,2.82,2.82,2.82,2.7e-05
ge_default_20210418074128_11,ReluGrad,AI Core,1,1.44,1.44,1.44,1.44,1.4e-05
ge_default_20210418074128_11,Maximum,AI Core,1,1.43,1.43,1.43,1.43,1.4e-05
ge_default_20210418074128_11,Square,AI Core,1,1.27,1.27,1.27,1.27,1.2e-05
ge_default_20210418074236_21,BatchMatMul,AI Core,14,9935215.87,621092.42,709658.276,846666.09,98.504126
ge_default_20210418074236_21,MatMulV2,AI Core,215,73296.79,1.2,340.915,3882.32,0.726712
ge_default_20210418074236_21,TransData,AI Core,196,53218.65,1.11,271.523,2567.53,0.527644
ge_default_20210418074236_21,Conv2D,AI Core,62,4101.57,3.25,66.154,303.38,0.040666
ge_default_20210418074236_21,ApplyAdamD,AI Core,69,3387.37,2.02,49.092,665.51,0.033585
